"","state","time","id","cov1","cov2"
"1",1,0,1,0,0.7
"2",2,1.8359558172524,1,0,0.7
"3",3,2.77409694250673,1,0,0.7
"4",3,4.9435260524042,1,0,0.7
"5",4,7.82968360139057,1,0,0.7
"6",1,0,2,1,0.4
"7",1,1.66950046340935,2,1,0.4
"8",2,4.20384503388777,2,1,0.4
"9",3,5.17134190793149,2,1,0.4
"10",4,6.88054171483964,2,1,0.4
"11",1,0,3,0,-0.1
"12",2,2.2396676291246,3,0,-0.1
"13",3,4.18784930882975,3,0,-0.1
"14",1,0,4,1,-1.95
"15",1,0.806707720970735,4,1,-1.95
"16",3,4.15227224468254,4,1,-1.95
"17",4,6.39296062407084,4,1,-1.95
"18",1,0,5,1,-0.65
"19",1,0.51696172892116,5,1,-0.65
"20",2,1.93426753371023,5,1,-0.65
"21",2,2.82710794731975,5,1,-0.65
"22",2,4.50142694613896,5,1,-0.65
"23",4,6.19977912586182,5,1,-0.65
"24",1,0,6,0,0
"25",1,1.15217806096189,6,0,0
"26",2,4.577772523975,6,0,0
"27",4,8.053410948487,6,0,0
"28",1,0,7,1,0.4
"29",3,2.70156468218192,7,1,0.4
"30",4,4.20481040910818,7,1,0.4
"31",1,0,8,1,-0.7
"32",1,1.08988231699914,8,1,-0.7
"33",4,3.37988421833143,8,1,-0.7
"34",1,0,9,0,0.45
"35",1,2.84205230837688,9,0,0.45
"36",1,4.99336257670075,9,0,0.45
"37",1,6.43220536527224,9,0,0.45
"38",4,8.67503093997948,9,0,0.45
"39",1,0,10,0,0
"40",1,1.28471674770117,10,0,0
"41",1,3.35369290830567,10,0,0
"42",3,6.11378608597443,10,0,0
"43",3,7.70688496762887,10,0,0
"44",4,10.5862754764967,10,0,0
"45",1,0,11,0,-0.5
"46",2,2.59449630044401,11,0,-0.5
"47",3,3.57231604494154,11,0,-0.5
"48",4,4.56022571423091,11,0,-0.5
"49",1,0,12,1,-1.6
"50",4,3.03695482457988,12,1,-1.6
"51",1,0,13,0,1.6
"52",1,1.67792556202039,13,0,1.6
"53",1,2.9958728433121,13,0,1.6
"54",2,4.51711674313992,13,0,1.6
"55",2,5.68693265714683,13,0,1.6
"56",2,6.46420821221545,13,0,1.6
"57",4,9.70626989984885,13,0,1.6
"58",1,0,14,1,0.5
"59",2,3.33255512965843,14,1,0.5
"60",3,4.76216036383994,14,1,0.5
"61",3,6.69763459917158,14,1,0.5
"62",4,8.8400378737133,14,1,0.5
"63",1,0,15,1,-0.2
"64",2,1.48077473999001,15,1,-0.2
"65",3,2.25529526057653,15,1,-0.2
"66",3,3.89709857711568,15,1,-0.2
"67",4,5.58159678825177,15,1,-0.2
"68",1,0,16,0,-0.4
"69",1,0.519923102809116,16,0,-0.4
"70",2,3.62955339485779,16,0,-0.4
"71",2,4.24768663477153,16,0,-0.4
"72",3,5.23839750955813,16,0,-0.4
"73",3,6.75757249863818,16,0,-0.4
"74",4,9.35407425044104,16,0,-0.4
"75",1,0,17,0,1
"76",1,2.85159439407289,17,0,1
"77",3,5.09377355012111,17,0,1
"78",1,0,18,1,1.25
"79",1,1.10268821730278,18,1,1.25
"80",3,3.62562390835956,18,1,1.25
"81",1,0,19,0,-1.55
"82",2,2.17964220815338,19,0,-1.55
"83",2,3.4762709045317,19,0,-1.55
"84",2,5.38017397304066,19,0,-1.55
"85",4,8.57941338489763,19,0,-1.55
"86",1,0,20,1,-0.45
"87",3,3.00635908776894,20,1,-0.45
"88",3,4.42538953758776,20,1,-0.45
"89",4,6.79229592299089,20,1,-0.45
"90",1,0,21,0,-0.4
"91",1,2.63493944355287,21,0,-0.4
"92",1,3.74849207908846,21,0,-0.4
"93",3,5.64128098427318,21,0,-0.4
"94",1,0,22,1,0.2
"95",2,2.6947881160304,22,1,0.2
"96",4,5.91916359891184,22,1,0.2
"97",1,0,23,0,0.4
"98",1,1.65705300471745,23,0,0.4
"99",2,3.10498395143077,23,0,0.4
"100",4,5.3740971959196,23,0,0.4
"101",1,0,24,0,0.65
"102",2,2.98655376047827,24,0,0.65
"103",4,3.93155231978744,24,0,0.65
"104",1,0,25,1,-2
"105",4,3.26670242869295,25,1,-2
"106",1,0,26,1,-0.95
"107",2,2.40237713907845,26,1,-0.95
"108",3,3.7238913923502,26,1,-0.95
"109",4,6.19459354947321,26,1,-0.95
"110",1,0,27,0,0.35
"111",2,2.5652032524813,27,0,0.35
"112",2,4.36905308999121,27,0,0.35
"113",3,7.37432904029265,27,0,0.35
"114",3,9.75254977401346,27,0,0.35
"115",3,11.4802619011607,27,0,0.35
"116",1,0,28,1,0.7
"117",1,2.32497807801701,28,1,0.7
"118",1,3.93560199509375,28,1,0.7
"119",1,6.92250338383019,28,1,0.7
"120",1,7.65257217967883,28,1,0.7
"121",1,8.49843456433155,28,1,0.7
"122",3,11.4426447157748,28,1,0.7
"123",3,12.5897831532639,28,1,0.7
"124",1,0,29,0,-0.95
"125",3,3.26637872937135,29,0,-0.95
"126",3,3.96912167780101,29,0,-0.95
"127",1,0,30,0,1.55
"128",1,0.838990305317566,30,0,1.55
"129",1,2.55754147330299,30,0,1.55
"130",4,4.29449701518752,30,0,1.55
"131",1,0,31,1,0.4
"132",2,1.14698991295882,31,1,0.4
"133",3,3.8939087218605,31,1,0.4
"134",3,4.42002456192859,31,1,0.4
"135",3,6.2634316647891,31,1,0.4
"136",4,7.00450539099984,31,1,0.4
"137",1,0,32,0,0.35
"138",1,1.88964141183533,32,0,0.35
"139",4,5.27136851265095,32,0,0.35
"140",1,0,33,1,0.4
"141",2,2.67502388800494,33,1,0.4
"142",3,3.9633291142527,33,1,0.4
"143",1,0,34,1,0.75
"144",2,2.8555361230392,34,1,0.75
"145",4,5.34066124306992,34,1,0.75
"146",1,0,35,1,-1.2
"147",3,1.08394728903659,35,1,-1.2
"148",4,3.15374438371509,35,1,-1.2
"149",1,0,36,1,1.9
"150",4,3.33714979072101,36,1,1.9
"151",1,0,37,0,-0.35
"152",3,2.13055483135395,37,0,-0.35
"153",3,3.26018592482433,37,0,-0.35
"154",1,0,38,1,0.1
"155",2,0.780662978999317,38,1,0.1
"156",4,3.00798200909048,38,1,0.1
"157",1,0,39,1,-0.35
"158",2,2.30437928973697,39,1,-0.35
"159",3,4.53846892085858,39,1,-0.35
"160",3,5.31949454569258,39,1,-0.35
"161",4,8.33973561786115,39,1,-0.35
"162",1,0,40,0,-0.75
"163",1,1.31279347394593,40,0,-0.75
"164",1,2.46257791761309,40,0,-0.75
"165",1,3.82854294427671,40,0,-0.75
"166",3,5.17511339532211,40,0,-0.75
"167",4,6.29508111206815,40,0,-0.75
"168",1,0,41,1,0
"169",1,2.06564064440317,41,1,0
"170",1,4.71368595282547,41,1,0
"171",1,5.25890362565406,41,1,0
"172",2,7.26853771880269,41,1,0
"173",1,0,42,1,1.45
"174",1,0.795412211678922,42,1,1.45
"175",2,1.49098664848134,42,1,1.45
"176",4,4.91998247662559,42,1,1.45
"177",1,0,43,0,1.3
"178",1,0.880684131756425,43,0,1.3
"179",1,2.49929064093158,43,0,1.3
"180",1,3.93066347180866,43,0,1.3
"181",1,4.6521858186461,43,0,1.3
"182",2,5.38328552572057,43,0,1.3
"183",4,7.58753161202185,43,0,1.3
"184",1,0,44,1,0.5
"185",2,2.52722798404284,44,1,0.5
"186",2,3.0694598085247,44,1,0.5
"187",3,4.86870444053784,44,1,0.5
"188",4,7.63856287137605,44,1,0.5
"189",1,0,45,1,-1.55
"190",1,0.561463588615879,45,1,-1.55
"191",2,2.74303073366173,45,1,-1.55
"192",3,5.10848946450278,45,1,-1.55
"193",1,0,46,1,-2.15
"194",2,1.11204477935098,46,1,-2.15
"195",2,1.88166690384969,46,1,-2.15
"196",3,3.70809054421261,46,1,-2.15
"197",3,4.46561793936417,46,1,-2.15
"198",1,0,47,1,0
"199",2,1.239868669305,47,1,0
"200",4,3.03782362118363,47,1,0
"201",1,0,48,1,-1.4
"202",2,2.78319232468493,48,1,-1.4
"203",4,4.32259894325398,48,1,-1.4
"204",1,0,49,0,0.55
"205",1,1.78616307326593,49,0,0.55
"206",3,4.49027049797587,49,0,0.55
"207",4,5.85129309282638,49,0,0.55
"208",1,0,50,1,-0.25
"209",4,2.9519894621335,50,1,-0.25
"210",1,0,51,1,0.05
"211",2,0.787209404632449,51,1,0.05
"212",2,1.42865044996142,51,1,0.05
"213",4,4.50637965230271,51,1,0.05
"214",1,0,52,1,-0.45
