,state,time,id,cov1,cov2
0,2,0.0,1,0,0.7
1,3,1.8359558172524,1,0,0.7
2,4,2.77409694250673,1,0,0.7
3,1,4.9435260524042,1,0,0.7
4,4,0.0,2,1,0.4
5,3,1.66950046340935,2,1,0.4
6,1,4.20384503388777,2,1,0.4
7,2,5.17134190793149,2,1,0.4
8,1,0.0,3,0,-0.1
9,4,2.2396676291246,3,0,-0.1
10,3,4.18784930882975,3,0,-0.1
11,1,0.0,4,1,-1.95
12,4,0.806707720970735,4,1,-1.95
13,3,4.15227224468254,4,1,-1.95
14,2,6.39296062407084,4,1,-1.95
15,1,0.0,5,1,-0.65
16,4,0.51696172892116,5,1,-0.65
17,3,1.93426753371023,5,1,-0.65
18,2,2.82710794731975,5,1,-0.65
19,4,0.0,6,0,0.0
20,2,1.15217806096189,6,0,0.0
21,1,4.577772523975,6,0,0.0
22,3,8.053410948487,6,0,0.0
23,2,0.0,7,1,0.4
24,1,2.70156468218192,7,1,0.4
25,3,4.20481040910818,7,1,0.4
26,1,0.0,8,1,-0.7
27,3,1.08988231699914,8,1,-0.7
28,2,3.37988421833143,8,1,-0.7
29,3,0.0,9,0,0.45
30,4,2.84205230837688,9,0,0.45
31,1,4.99336257670075,9,0,0.45
32,2,6.43220536527224,9,0,0.45
33,4,0.0,10,0,0.0
34,3,1.28471674770117,10,0,0.0
35,2,3.35369290830567,10,0,0.0
36,1,6.11378608597443,10,0,0.0
37,2,0.0,11,0,-0.5
38,3,2.59449630044401,11,0,-0.5
39,4,3.57231604494154,11,0,-0.5
40,1,4.56022571423091,11,0,-0.5
41,4,0.0,12,1,-1.6
42,1,3.03695482457988,12,1,-1.6
43,2,0.0,13,0,1.6
44,4,1.67792556202039,13,0,1.6
45,1,2.9958728433121,13,0,1.6
46,3,4.51711674313992,13,0,1.6
47,4,0.0,14,1,0.5
48,3,3.33255512965843,14,1,0.5
49,2,4.76216036383994,14,1,0.5
50,1,6.69763459917158,14,1,0.5
51,4,0.0,15,1,-0.2
52,1,1.48077473999001,15,1,-0.2
53,3,2.25529526057653,15,1,-0.2
54,2,3.89709857711568,15,1,-0.2
55,4,0.0,16,0,-0.4
56,1,0.519923102809116,16,0,-0.4
57,3,3.62955339485779,16,0,-0.4
58,2,4.24768663477153,16,0,-0.4
59,3,0.0,17,0,1.0
60,2,2.85159439407289,17,0,1.0
61,4,5.09377355012111,17,0,1.0
62,3,0.0,18,1,1.25
63,2,1.10268821730278,18,1,1.25
64,1,3.62562390835956,18,1,1.25
65,4,0.0,19,0,-1.55
66,2,2.17964220815338,19,0,-1.55
67,1,3.4762709045317,19,0,-1.55
68,3,5.38017397304066,19,0,-1.55
69,2,0.0,20,1,-0.45
70,3,3.00635908776894,20,1,-0.45
71,1,4.42538953758776,20,1,-0.45
72,4,6.79229592299089,20,1,-0.45
73,3,0.0,21,0,-0.4
74,4,2.63493944355287,21,0,-0.4
75,1,3.74849207908846,21,0,-0.4
76,2,5.64128098427318,21,0,-0.4
77,1,0.0,22,1,0.2
78,3,2.6947881160304,22,1,0.2
79,2,5.91916359891184,22,1,0.2
80,1,0.0,23,0,0.4
81,4,1.65705300471745,23,0,0.4
82,2,3.10498395143077,23,0,0.4
83,3,5.3740971959196,23,0,0.4
84,4,0.0,24,0,0.65
85,3,2.98655376047827,24,0,0.65
86,1,3.93155231978744,24,0,0.65
87,3,0.0,25,1,-2.0
88,2,3.26670242869295,25,1,-2.0
89,4,0.0,26,1,-0.95
90,2,2.40237713907845,26,1,-0.95
91,3,3.7238913923502,26,1,-0.95
92,1,6.19459354947321,26,1,-0.95
93,3,0.0,27,0,0.35
94,2,2.5652032524813,27,0,0.35
95,1,4.36905308999121,27,0,0.35
96,4,7.37432904029265,27,0,0.35
97,1,0.0,28,1,0.7
98,4,2.32497807801701,28,1,0.7
99,2,3.93560199509375,28,1,0.7
100,3,6.92250338383019,28,1,0.7
101,4,0.0,29,0,-0.95
102,1,3.26637872937135,29,0,-0.95
103,3,3.96912167780101,29,0,-0.95
104,4,0.0,30,0,1.55
105,1,0.838990305317566,30,0,1.55
106,3,2.55754147330299,30,0,1.55
107,2,4.29449701518752,30,0,1.55
108,2,0.0,31,1,0.4
109,3,1.14698991295882,31,1,0.4
110,4,3.8939087218605,31,1,0.4
111,1,4.42002456192859,31,1,0.4
112,1,0.0,32,0,0.35
113,4,1.88964141183533,32,0,0.35
114,3,5.27136851265095,32,0,0.35
115,3,0.0,33,1,0.4
116,4,2.67502388800494,33,1,0.4
117,1,3.9633291142527,33,1,0.4
118,4,0.0,34,1,0.75
119,3,2.8555361230392,34,1,0.75
120,2,5.34066124306992,34,1,0.75
121,3,0.0,35,1,-1.2
