,jokowi,detikcom,kompascom,ganjarpranowo,KPK_RI,CNNIndonesia,aniesbaswedan,KompasTV,budimandjatmiko,tvOneNews
jokowi,0.0,inf,inf,5718.666748046875,46867.77734375,305.0,50425.77734375,2330.0,inf,inf
detikcom,601891.1640625,0.0,inf,6385.5,88321.1640625,1159.0,91879.1640625,604221.1640625,inf,inf
kompascom,561547.77734375,inf,0.0,6024.75,47977.77734375,561852.77734375,51535.77734375,3440.0,inf,inf
ganjarpranowo,595505.6640625,inf,inf,0.0,81935.6640625,595810.6640625,85493.6640625,597835.6640625,inf,inf
KPK_RI,513570.0,inf,inf,519288.6667480469,0.0,513875.0,3558.0,515900.0,inf,inf
CNNIndonesia,601915.9975585938,inf,inf,6410.33349609375,88345.99755859375,0.0,91903.99755859375,604245.9975585938,inf,inf
aniesbaswedan,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf
KompasTV,558107.77734375,inf,inf,3388.666748046875,44537.77734375,558412.77734375,48095.77734375,0.0,inf,inf
budimandjatmiko,562529.77734375,inf,inf,7810.666748046875,48959.77734375,562834.77734375,52517.77734375,4422.0,0.0,inf
tvOneNews,601775.6640625,inf,inf,6270.0,88205.6640625,602080.6640625,91763.6640625,604105.6640625,inf,0.0
