category,terms,id,unknown,id2,tweetid,guid,link,author,title,description,pubdate,source,favoritecount,retweetcount,lang,quotedtext,tweettype,inreplytoscreenname,inreplytouserid,inreplytostatusid,retweetedscreenname,retweeteduserid,retweetedstatusid,userid,profileimageurl,userstatusescount,userfriendscount,userfollowerscount,usercreatedat,userbio,userlocation,userverified,sentiment
positif,"bagus,dukung",1,0,86001,1.36E+18,https://twitter.com/lutfiandani/statuses/1355559334474702849,https://twitter.com/lutfiandani/statuses/1355559334474702849,lutfiandani,Pentingnya vaksinasi covid19 ayo dukung vaksinasi yang bagus ini untuk mengatasi pandemi #VaksinasiNasional #VaksinBelaNegara https://t.co/Vw2PISfHwV,Pentingnya vaksinasi covid19 ayo dukung vaksinasi yang bagus ini untuk mengatasi pandemi #VaksinasiNasional #VaksinBelaNegara https://t.co/Vw2PISfHwV,1/30/2021 11:51,Twitter for Android,1,0,in,,original,,0,0,,0,0,1.33E+18,https://pbs.twimg.com/profile_images/1331475199863136256/RYtLO5p__normal.jpg,408,54,18,11/24/2020 22:08,Komunitas Generasi Milenial,"Kalimantan Timur, Indonesia",,1
negatif,"berbahaya,pembatasan,wabah",2,1,49824,1.35E+18,https://twitter.com/orangdesadamai/statuses/1354581196433453062,https://twitter.com/orangdesadamai/statuses/1354581196433453062,orangdesadamai,,"2. Pemerintah memfokuskan dua cara utk mengendalikan wabah ini, yakni kebijakan Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM) dan Vaksinasi.   Fix Vaksin Tak Berbahaya #BaladaCintaRijikFirzaHots",1/27/2021 19:04,Twitter Web App,0,1,in,,retweet,,0,0,RETHA_Monicaa,1.23E+18,1.35E+18,1.22E+18,https://pbs.twimg.com/profile_images/1337287877177135105/npR9Sx3W_normal.jpg,53750,11403,14004,1/11/2020 5:28,Backup akun @silentreadeer   Salus Populi Suprema Lex Esto,Gading Serpong Tangerang ,,1
"negatif,positif","kerja,membunuh,mengeluarkan,virus",3,2,45626,1.35E+18,https://twitter.com/ByruBima/statuses/1354412916489949187,https://twitter.com/ByruBima/statuses/1354412916489949187,ByruBima,,"Secara prinsip, cara kerja vaksinasi adalah memasukkan antigen ke dalam tubuh untuk memicu kekebalan tubuh supaya mengeluarkan antibodi yang spesifik untuk mengenali, melawan, dan membunuh virus COVID-19.  @jokowi @kemendagri @KSPgoid https://t.co/tquqxSxKc5",1/27/2021 7:56,Twitter for Android,0,9,in,,retweet,,0,0,Aryprasetyo85,435004096,1.35E+18,1.29E+18,https://pbs.twimg.com/profile_images/1337048046459379715/5eGKcMr1_normal.jpg,6428,2232,1976,8/13/2020 7:32,ingin lebih,Jawa Timur,,1
"negatif,positif","kesehatan,mengatakan",4,3,81290,1.36E+18,https://twitter.com/fanfanoo/statuses/1355421806698524674,https://twitter.com/fanfanoo/statuses/1355421806698524674,fanfanoo,,Menteri Kesehatan Budi Gunadi Sadikin mengatakan sejumlah vaksin COVID-19 yang ada di Tanah Air masih belum selesai uji klinis tahap ketiga. #Menkes https://t.co/DBkxjdN8RU,1/30/2021 2:45,Twitter Web App,0,11,in,,retweet,,0,0,detikcom,69183155,1.36E+18,170567317,https://pbs.twimg.com/profile_images/1264244871134502913/MPlLsVtx_normal.jpg,20870,200,160,7/25/2010 1:07,Berhati rinto,62,,1
positif,"kesehatan,kita,menerima",5,4,12103,1.35E+18,https://twitter.com/Kimikimot5/statuses/1353623380407115776,https://twitter.com/Kimikimot5/statuses/1353623380407115776,Kimikimot5,,Untuk Tenaga Kesehatan Kita Fokuskan Kepada Jumlah Nakes  Yang Sudah Menerima Vaksinasi #NakesSiapRumahSakitSiap https://t.co/zQZDcs95Gp,1/25/2021 3:38,Twitter Web App,0,96,in,,retweet,,0,0,Jah_Nazari,1.34E+18,1.35E+18,1.34E+18,https://pbs.twimg.com/profile_images/1343388081840254984/e64GHGWH_normal.jpg,249,29,13,12/27/2020 21:46,Yours,Surabaya,,1
,,6,5,1367,1.35E+18,https://twitter.com/m4s4g03s/statuses/1353308843300671488,https://twitter.com/m4s4g03s/statuses/1353308843300671488,m4s4g03s,,,1/24/2021 6:49,Twitter for Android,0,8,in,,retweet,,0,0,ferdymad,63259705,1.35E+18,2487707222,https://pbs.twimg.com/profile_images/1353101516987535360/kGsRv6ab_normal.jpg,9471,307,815,5/10/2014 7:30,"Life goes on, except for those who can\'t move on.",Sesuai KTP,,-1
positif,"hal,kesehatan,tetap",7,6,14777,1.35E+18,https://twitter.com/budiarto689/statuses/1353670460844560384,https://twitter.com/budiarto689/statuses/1353670460844560384,budiarto689,,Protokol kesehatan tetap harus dilaksanakan walaupun program vaksinasi tahap 1 nakes di lakukan. Hal ini tetap untuk meredam penularan covid-19. #VaksinSiapRumahSakitSiap https://t.co/A5YtgV4mPA,1/25/2021 6:46,Twitter for Android,0,5,in,,retweet,,0,0,blacksppyder,1.24E+18,1.35E+18,1.22E+18,https://pbs.twimg.com/profile_images/1352171069579280386/3VdCyVo6_normal.jpg,24725,4660,4772,1/15/2020 20:14,laki2 #NKRI ????,laki-laki,,1
,,8,7,34484,1.35E+18,https://twitter.com/LiaAnnabhani/statuses/1354272016346435588,https://twitter.com/LiaAnnabhani/statuses/1354272016346435588,LiaAnnabhani,,,1/26/2021 22:36,Twitter for Android,0,23,in,,retweet,,0,0,tjhinfar,136299265,1.35E+18,2534712018,https://pbs.twimg.com/profile_images/974208494965420032/i70dAsEg_normal.jpg,17637,304,391,5/30/2014 5:59,"Indonesia  ????? ,   ??? ?? ??? ??? ???.","Bandung West Java, Indonesia ",,1
,,9,8,81638,1.36E+18,https://twitter.com/aisyahardanie/statuses/1355431824655228928,https://twitter.com/aisyahardanie/statuses/1355431824655228928,aisyahardanie,,,1/30/2021 3:25,Twitter for Android,0,7,in,,retweet,,0,0,Penikmat_Kopimu,1.35E+18,1.36E+18,8.94E+17,https://pbs.twimg.com/profile_images/1293204651660070912/0xlPjVOL_normal.jpg,14690,3419,3140,8/5/2017 20:17,"social, comedy, music, cultural, no DM  #????????????????????",Indonesia,,1
,,10,9,59698,1.35E+18,https://twitter.com/bpbdbali/statuses/1354758357782032387,https://twitter.com/bpbdbali/statuses/1354758357782032387,bpbdbali,"Kalaksa BPBD Provinsi Bali , I Made Rentin, melaksanakan vaksinasi kedua pada hari Kamis, 28 Januari 2021.  #salamTANGGUH #salamSEHAT #salamKEMANUSIAAN #BersatuLawanCovid19  @maderentin @de_doplong https://t.co/ROxuUu1D1P","Kalaksa BPBD Provinsi Bali , I Made Rentin, melaksanakan vaksinasi kedua pada hari Kamis, 28 Januari 2021.  #salamTANGGUH #salamSEHAT #salamKEMANUSIAAN #BersatuLawanCovid19  @maderentin @de_doplong https://t.co/ROxuUu1D1P",1/28/2021 6:48,Instagram,0,0,in,,original,,0,0,,0,0,570618947,https://pbs.twimg.com/profile_images/850190621142921217/PmcOxLey_normal.jpg,5424,74,1299,5/4/2012 3:32,Akun resmi BPBD Provinsi Bali | Jl.DI. Panjaitan No 6 Renon Denpasar  | contact : pusdalopsbali@gmail.com | Call Center : (0361) 251177,Bali,,1
