Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,
IDN,1970-01-01,1970-12-31,101,'360,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1970,1970,LCU,0.429000,E
IDN,1971-01-01,1971-12-31,101,'360,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1971,1971,LCU,0.454700,E
IDN,1972-01-01,1972-12-31,101,'360,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1972,1972,LCU,0.516500,E
IDN,1973-01-01,1973-12-31,101,'360,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1973,1973,LCU,0.686600,E
IDN,1974-01-01,1974-12-31,101,'360,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1974,1974,LCU,1.011400,E
IDN,1975-01-01,1975-12-31,101,'360,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1975,1975,LCU,1.137500,E
IDN,1976-01-01,1976-12-31,101,'360,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1976,1976,LCU,1.302100,E
IDN,1977-01-01,1977-12-31,101,'360,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1977,1977,LCU,1.471400,E
IDN,1978-01-01,1978-12-31,101,'360,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1978,1978,LCU,1.632400,E
IDN,1979-01-01,1979-12-31,101,'360,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1979,1979,LCU,2.163100,E
IDN,1980-01-01,1980-12-31,101,'360,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1980,1980,LCU,2.793700,E
IDN,1981-01-01,1981-12-31,101,'360,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1981,1981,LCU,3.310600,E
IDN,1982-01-01,1982-12-31,101,'360,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1982,1982,LCU,3.480400,E
IDN,1983-01-01,1983-12-31,101,'360,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1983,1983,LCU,3.975300,E
IDN,1984-01-01,1984-12-31,101,'360,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1984,1984,LCU,4.303200,E
IDN,1985-01-01,1985-12-31,101,'360,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1985,1985,LCU,4.532000,E
IDN,1986-01-01,1986-12-31,101,'360,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1986,1986,LCU,4.531500,E
IDN,1987-01-01,1987-12-31,101,'360,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1987,1987,LCU,5.249700,E
IDN,1988-01-01,1988-12-31,101,'360,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1988,1988,LCU,5.951000,E
IDN,1989-01-01,1989-12-31,101,'360,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1989,1989,LCU,6.545700,E
IDN,1990-01-01,1990-12-31,101,'360,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1990,1990,LCU,7.051200,E
IDN,1991-01-01,1991-12-31,101,'360,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1991,1991,LCU,7.673700,E
IDN,1992-01-01,1992-12-31,101,'360,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1992,1992,LCU,8.085300,E
