category,indicator,indicator_friendly,type_data,latitude,longitude,region_id,country_id,name,year,value
#meta+category,#indicator+name,#indicator+description,#indicator+type,#geo+lat,#geo+lon,#region+code,#country+code+v_iso2,#country+name,#date+year,#indicator+value
Crime,recorded_assault_rate,Recorded assault rate per 100,000 population,n,-5,120,789,ID,Indonesia,2000,8.84
Crime,recorded_assault_rate,Recorded assault rate per 100,000 population,n,-5,120,789,ID,Indonesia,1999,7.96
Health,children_with_diarrhea_3_shelter_deprivation,Proportion of children with diarrhea in last two weeks – 3 Shelter deprivation,p,-5,120,789,ID,Indonesia,1992,15.4
Health,children_with_diarrhea_3_shelter_deprivation,Proportion of children with diarrhea in last two weeks – 3 Shelter deprivation,p,-5,120,789,ID,Indonesia,2004,17
Transport,total_number_of_motor_vehicles,Total number of motor vehicles (per 1000 population),n,-5,120,789,ID,Indonesia,1990,16
Slum dwellers,urban_population_percentage_fewer_500k,Percentage of urban population (by country) – Fewer than 500 000 inhabitants,p,-5,120,789,ID,Indonesia,1985,61.12
Slum dwellers,urban_population_percentage_fewer_500k,Percentage of urban population (by country) – Fewer than 500 000 inhabitants,p,-5,120,789,ID,Indonesia,1955,70.26
Slum dwellers,urban_population_percentage_fewer_500k,Percentage of urban population (by country) – Fewer than 500 000 inhabitants,p,-5,120,789,ID,Indonesia,2020,76.17
Slum dwellers,urban_population_percentage_fewer_500k,Percentage of urban population (by country) – Fewer than 500 000 inhabitants,p,-5,120,789,ID,Indonesia,1990,64.24
Slum dwellers,urban_population_percentage_fewer_500k,Percentage of urban population (by country) – Fewer than 500 000 inhabitants,p,-5,120,789,ID,Indonesia,1960,67.53
Slum dwellers,urban_population_percentage_fewer_500k,Percentage of urban population (by country) – Fewer than 500 000 inhabitants,p,-5,120,789,ID,Indonesia,2025,76.38
Slum dwellers,urban_population_percentage_fewer_500k,Percentage of urban population (by country) – Fewer than 500 000 inhabitants,p,-5,120,789,ID,Indonesia,1995,69.41
Slum dwellers,urban_population_percentage_fewer_500k,Percentage of urban population (by country) – Fewer than 500 000 inhabitants,p,-5,120,789,ID,Indonesia,1965,57.88
Slum dwellers,urban_population_percentage_fewer_500k,Percentage of urban population (by country) – Fewer than 500 000 inhabitants,p,-5,120,789,ID,Indonesia,2000,73.46
Slum dwellers,urban_population_percentage_fewer_500k,Percentage of urban population (by country) – Fewer than 500 000 inhabitants,p,-5,120,789,ID,Indonesia,1970,59.33
Slum dwellers,urban_population_percentage_fewer_500k,Percentage of urban population (by country) – Fewer than 500 000 inhabitants,p,-5,120,789,ID,Indonesia,2005,76.68
Slum dwellers,urban_population_percentage_fewer_500k,Percentage of urban population (by country) – Fewer than 500 000 inhabitants,p,-5,120,789,ID,Indonesia,1975,59.18
Slum dwellers,urban_population_percentage_fewer_500k,Percentage of urban population (by country) – Fewer than 500 000 inhabitants,p,-5,120,789,ID,Indonesia,2010,75.98
Slum dwellers,urban_population_percentage_fewer_500k,Percentage of urban population (by country) – Fewer than 500 000 inhabitants,p,-5,120,789,ID,Indonesia,1980,57.35
Slum dwellers,urban_population_percentage_fewer_500k,Percentage of urban population (by country) – Fewer than 500 000 inhabitants,p,-5,120,789,ID,Indonesia,1950,73.21
Slum dwellers,urban_population_percentage_fewer_500k,Percentage of urban population (by country) – Fewer than 500 000 inhabitants,p,-5,120,789,ID,Indonesia,2015,76.4
Slum dwellers,improved_water_sustainable_access_countries,Proportion of population with sustainable access to an improved water source – Countries,p,-5,120,789,ID,Indonesia,2002,79.2
Slum dwellers,improved_water_sustainable_access_countries,Proportion of population with sustainable access to an improved water source – Countries,p,-5,120,789,ID,Indonesia,1994,92.5
Slum dwellers,improved_water_sustainable_access_countries,Proportion of population with sustainable access to an improved water source – Countries,p,-5,120,789,ID,Indonesia,1991,56.9
Slum dwellers,improved_water_sustainable_access_countries,Proportion of population with sustainable access to an improved water source – Countries,p,-5,120,789,ID,Indonesia,1997,92
Slum dwellers,improved_water_sustainable_access_countries,Proportion of population with sustainable access to an improved water source – Countries,p,-5,120,789,ID,Indonesia,2007,83.4
Slum dwellers,pit_latrine_without_slab,Access to pit latrine without slab,p,-5,120,789,ID,Indonesia,2002,2.9
Slum dwellers,pit_latrine_without_slab,Access to pit latrine without slab,p,-5,120,789,ID,Indonesia,1991,0.1
Slum dwellers,pit_latrine_without_slab,Access to pit latrine without slab,p,-5,120,789,ID,Indonesia,1997,0.4
Slum dwellers,pit_latrine_without_slab,Access to pit latrine without slab,p,-5,120,789,ID,Indonesia,1994,0.4
Slum dwellers,pit_latrine_without_slab,Access to pit latrine without slab,p,-5,120,789,ID,Indonesia,2007,2.3
Population,urban_population_countries,Urban population – Countries,1000,-5,120,789,ID,Indonesia,2050,235860
Population,urban_population_countries,Urban population – Countries,1000,-5,120,789,ID,Indonesia,1950,9863
Population,urban_population_countries,Urban population – Countries,1000,-5,120,789,ID,Indonesia,1955,11632
Population,urban_population_countries,Urban population – Countries,1000,-5,120,789,ID,Indonesia,1960,13992
Population,urban_population_countries,Urban population – Countries,1000,-5,120,789,ID,Indonesia,1965,16925
Population,urban_population_countries,Urban population – Countries,1000,-5,120,789,ID,Indonesia,1970,20577
Population,urban_population_countries,Urban population – Countries,1000,-5,120,789,ID,Indonesia,1975,26152
Population,urban_population_countries,Urban population – Countries,1000,-5,120,789,ID,Indonesia,1980,33401
Population,urban_population_countries,Urban population – Countries,1000,-5,120,789,ID,Indonesia,1985,43659
Population,urban_population_countries,Urban population – Countries,1000,-5,120,789,ID,Indonesia,1990,55922
Population,urban_population_countries,Urban population – Countries,1000,-5,120,789,ID,Indonesia,1995,70188
Population,urban_population_countries,Urban population – Countries,1000,-5,120,789,ID,Indonesia,2000,88918
Population,urban_population_countries,Urban population – Countries,1000,-5,120,789,ID,Indonesia,2005,108828
Population,urban_population_countries,Urban population – Countries,1000,-5,120,789,ID,Indonesia,2007,116832
Population,urban_population_countries,Urban population – Countries,1000,-5,120,789,ID,Indonesia,2010,128634
Population,urban_population_countries,Urban population – Countries,1000,-5,120,789,ID,Indonesia,2015,147197
Population,urban_population_countries,Urban population – Countries,1000,-5,120,789,ID,Indonesia,2020,163850
Population,urban_population_countries,Urban population – Countries,1000,-5,120,789,ID,Indonesia,2025,178731
Population,urban_population_countries,Urban population – Countries,1000,-5,120,789,ID,Indonesia,2030,192805
Population,urban_population_countries,Urban population – Countries,1000,-5,120,789,ID,Indonesia,2035,205983
Population,urban_population_countries,Urban population – Countries,1000,-5,120,789,ID,Indonesia,2040,217727
Population,urban_population_countries,Urban population – Countries,1000,-5,120,789,ID,Indonesia,2045,227718
Education,net_enrolment_rate_2_shelter_deprivation,Net enrolment rate in primary education in urban and rural areas (Male) – 2 Shelter deprivation,p,-5,120,789,ID,Indonesia,2002,72.5
Education,net_enrolment_rate_2_shelter_deprivation,Net enrolment rate in primary education in urban and rural areas (Male) – 2 Shelter deprivation,p,-5,120,789,ID,Indonesia,1994,82.5
Education,net_enrolment_rate_2_shelter_deprivation,Net enrolment rate in primary education in urban and rural areas (Male) – 2 Shelter deprivation,p,-5,120,789,ID,Indonesia,1997,79.6
Education,net_enrolment_rate_2_shelter_deprivation,Net enrolment rate in primary education in urban and rural areas (Male) – 2 Shelter deprivation,p,-5,120,789,ID,Indonesia,1991,74
Slum dwellers,literacy_rate_women_3_shelter_deprivation,Literacy rate by shelter deprivation (Women) – 3 Shelter deprivation,p,-5,120,789,ID,Indonesia,1994,72.2
Slum dwellers,literacy_rate_women_3_shelter_deprivation,Literacy rate by shelter deprivation (Women) – 3 Shelter deprivation,p,-5,120,789,ID,Indonesia,2002,62.9
Population,population_cities_by_country_1m_5m,Population in cities by country – cities with 1 to 5 million inhabitants,1000,-5,120,789,ID,Indonesia,1985,6604
Population,population_cities_by_country_1m_5m,Population in cities by country – cities with 1 to 5 million inhabitants,1000,-5,120,789,ID,Indonesia,1955,1972
Population,population_cities_by_country_1m_5m,Population in cities by country – cities with 1 to 5 million inhabitants,1000,-5,120,789,ID,Indonesia,2020,21312
Population,population_cities_by_country_1m_5m,Population in cities by country – cities with 1 to 5 million inhabitants,1000,-5,120,789,ID,Indonesia,1990,8593
Population,population_cities_by_country_1m_5m,Population in cities by country – cities with 1 to 5 million inhabitants,1000,-5,120,789,ID,Indonesia,1960,2679
Population,population_cities_by_country_1m_5m,Population in cities by country – cities with 1 to 5 million inhabitants,1000,-5,120,789,ID,Indonesia,2025,22819
Population,population_cities_by_country_1m_5m,Population in cities by country – cities with 1 to 5 million inhabitants,1000,-5,120,789,ID,Indonesia,1995,9077
Population,population_cities_by_country_1m_5m,Population in cities by country – cities with 1 to 5 million inhabitants,1000,-5,120,789,ID,Indonesia,1965,5533
Population,population_cities_by_country_1m_5m,Population in cities by country – cities with 1 to 5 million inhabitants,1000,-5,120,789,ID,Indonesia,2000,10597
Population,population_cities_by_country_1m_5m,Population in cities by country – cities with 1 to 5 million inhabitants,1000,-5,120,789,ID,Indonesia,1970,6560
Population,population_cities_by_country_1m_5m,Population in cities by country – cities with 1 to 5 million inhabitants,1000,-5,120,789,ID,Indonesia,2005,11332
Population,population_cities_by_country_1m_5m,Population in cities by country – cities with 1 to 5 million inhabitants,1000,-5,120,789,ID,Indonesia,1975,7853
Population,population_cities_by_country_1m_5m,Population in cities by country – cities with 1 to 5 million inhabitants,1000,-5,120,789,ID,Indonesia,2010,13609
Population,population_cities_by_country_1m_5m,Population in cities by country – cities with 1 to 5 million inhabitants,1000,-5,120,789,ID,Indonesia,1980,5810
Population,population_cities_by_country_1m_5m,Population in cities by country – cities with 1 to 5 million inhabitants,1000,-5,120,789,ID,Indonesia,1950,1452
Population,population_cities_by_country_1m_5m,Population in cities by country – cities with 1 to 5 million inhabitants,1000,-5,120,789,ID,Indonesia,2015,18469
Population,population_capital_cities,Population of capital cities,1000,-6.174418,106.829438,789,ID,Jakarta,2007,9125
Slum dwellers,public_tap_pump_borehole,Access to public tap/pump/borehole,p,-5,120,789,ID,Indonesia,2002,3.9
Slum dwellers,public_tap_pump_borehole,Access to public tap/pump/borehole,p,-5,120,789,ID,Indonesia,1994,10.2
Slum dwellers,public_tap_pump_borehole,Access to public tap/pump/borehole,p,-5,120,789,ID,Indonesia,2007,4
Slum dwellers,public_tap_pump_borehole,Access to public tap/pump/borehole,p,-5,120,789,ID,Indonesia,1997,8.2
Slum dwellers,public_tap_pump_borehole,Access to public tap/pump/borehole,p,-5,120,789,ID,Indonesia,1991,14.3
Slum dwellers,literacy_rate_women_2_shelter_deprivation,Literacy rate by shelter deprivation (Women) – 2 Shelter deprivation,p,-5,120,789,ID,Indonesia,1994,82.2
Slum dwellers,literacy_rate_women_2_shelter_deprivation,Literacy rate by shelter deprivation (Women) – 2 Shelter deprivation,p,-5,120,789,ID,Indonesia,2002,85.6
Slum dwellers,literacy_rate_women_2_shelter_deprivation,Literacy rate by shelter deprivation (Women) – 2 Shelter deprivation,p,-5,120,789,ID,Indonesia,1997,88.9
Slum dwellers,distribution_of_solid_cooking_fuel_urban,Percent distribution of solid cooking fuel – Urban,p,-5,120,789,ID,Indonesia,2002,16
Resilience,population_affected_by_conflicts,Annual average of population affected by conflicts,p,-5,120,789,ID,Indonesia,1980,1
Slum dwellers,literacy_rate_slum,Literacy rate by shelter deprivation – Slum,p,-5,120,789,ID,Indonesia,2002,86.1
Slum dwellers,literacy_rate_slum,Literacy rate by shelter deprivation – Slum,p,-5,120,789,ID,Indonesia,1994,89.8
Slum dwellers,literacy_rate_slum,Literacy rate by shelter deprivation – Slum,p,-5,120,789,ID,Indonesia,1997,92.8
Population,percentage_of_international_migrants,Percentage of international migrants,p,-5,120,789,ID,Indonesia,2000,0.6
Population,percentage_of_international_migrants,Percentage of international migrants,p,-5,120,789,ID,Indonesia,1995,0.7
Population,percentage_of_international_migrants,Percentage of international migrants,p,-5,120,789,ID,Indonesia,2005,0.5
Health,children_with_diarrhea_urban,Proportion of children with diarrhea in last two weeks – Urban,p,-5,120,789,ID,Indonesia,1992,11.9
