Country ISO3,Year,Indicator Code,Value
#country+code,#date+year,#indicator+code,#indicator+value+num
IDN,2021,BM.GSR.CMCP.ZS,56.0003306295497
IDN,2020,BM.GSR.CMCP.ZS,54.4335071198635
IDN,2019,BM.GSR.CMCP.ZS,37.1076692106684
IDN,2018,BM.GSR.CMCP.ZS,34.7624533332469
IDN,2017,BM.GSR.CMCP.ZS,37.7516562329368
IDN,2016,BM.GSR.CMCP.ZS,39.6946755828734
IDN,2015,BM.GSR.CMCP.ZS,39.9023417403162
IDN,2014,BM.GSR.CMCP.ZS,36.6697980885346
IDN,2013,BM.GSR.CMCP.ZS,37.2405775211585
IDN,2012,BM.GSR.CMCP.ZS,38.4578956926776
IDN,2011,BM.GSR.CMCP.ZS,35.4750318352203
IDN,2010,BM.GSR.CMCP.ZS,36.4431086637163
IDN,2009,BM.GSR.CMCP.ZS,41.4230820029455
IDN,2008,BM.GSR.CMCP.ZS,28.0884717156627
IDN,2007,BM.GSR.CMCP.ZS,37.1737633568393
IDN,2006,BM.GSR.CMCP.ZS,39.9816421162334
IDN,2005,BM.GSR.CMCP.ZS,46.3329054016414
IDN,2004,BM.GSR.CMCP.ZS,52.4040470620024
IDN,2003,BM.GSR.CMCP.ZS,52.8427884747261
IDN,2002,BM.GSR.CMCP.ZS,48.6508805537176
IDN,2001,BM.GSR.CMCP.ZS,52.0973910868393
IDN,2000,BM.GSR.CMCP.ZS,51.5912714200406
IDN,1999,BM.GSR.CMCP.ZS,52.1037419913484
IDN,1998,BM.GSR.CMCP.ZS,48.7919011454465
IDN,1997,BM.GSR.CMCP.ZS,49.7320407057265
IDN,1996,BM.GSR.CMCP.ZS,46.1325054495013
IDN,1995,BM.GSR.CMCP.ZS,44.4903988183161
IDN,1994,BM.GSR.CMCP.ZS,45.7077785564121
IDN,1993,BM.GSR.CMCP.ZS,43.9670932358318
IDN,1992,BM.GSR.CMCP.ZS,37.8518518518519
IDN,1991,BM.GSR.CMCP.ZS,32.5411334552102
IDN,1990,BM.GSR.CMCP.ZS,36.1789960369881
IDN,1989,BM.GSR.CMCP.ZS,45.2105166390881
IDN,1988,BM.GSR.CMCP.ZS,47.7203647416413
IDN,1987,BM.GSR.CMCP.ZS,52.2297297297297
