Country ISO3,Year,Indicator Code,Value
#country+code,#date+year,#indicator+code,#indicator+value+num
IDN,2021,SI.POV.DDAY,3.5
IDN,2020,SI.POV.DDAY,3.8
IDN,2019,SI.POV.DDAY,4.4
IDN,2018,SI.POV.DDAY,5.4
IDN,2017,SI.POV.DDAY,6.6
IDN,2016,SI.POV.DDAY,7.5
IDN,2015,SI.POV.DDAY,8.3
IDN,2014,SI.POV.DDAY,9.3
IDN,2013,SI.POV.DDAY,11.2
IDN,2012,SI.POV.DDAY,13.7
IDN,2011,SI.POV.DDAY,15.7
IDN,2010,SI.POV.DDAY,18.3
IDN,2009,SI.POV.DDAY,21
IDN,2008,SI.POV.DDAY,24.7
IDN,2007,SI.POV.DDAY,25.2
IDN,2006,SI.POV.DDAY,30.6
IDN,2005,SI.POV.DDAY,24.6
IDN,2004,SI.POV.DDAY,27
IDN,2003,SI.POV.DDAY,26.4
IDN,2002,SI.POV.DDAY,26.8
IDN,2001,SI.POV.DDAY,39.9
IDN,2000,SI.POV.DDAY,43.6
IDN,1999,SI.POV.DDAY,46
IDN,1998,SI.POV.DDAY,69.1
IDN,1996,SI.POV.DDAY,51.3
IDN,1993,SI.POV.DDAY,62.1
IDN,1990,SI.POV.DDAY,62.8
IDN,1987,SI.POV.DDAY,74.3
IDN,1984,SI.POV.DDAY,74.2
IDN,2021,SI.POV.GAPS,0.5
IDN,2020,SI.POV.GAPS,0.5
IDN,2019,SI.POV.GAPS,0.6
IDN,2018,SI.POV.GAPS,0.8
IDN,2017,SI.POV.GAPS,1
IDN,2016,SI.POV.GAPS,1.2
IDN,2015,SI.POV.GAPS,1.4
IDN,2014,SI.POV.GAPS,1.5
IDN,2013,SI.POV.GAPS,1.8
IDN,2012,SI.POV.GAPS,2.3
IDN,2011,SI.POV.GAPS,2.9
IDN,2010,SI.POV.GAPS,3.5
IDN,2009,SI.POV.GAPS,4.3
IDN,2008,SI.POV.GAPS,5.3
IDN,2007,SI.POV.GAPS,5.7
IDN,2006,SI.POV.GAPS,7.5
IDN,2005,SI.POV.GAPS,5.3
IDN,2004,SI.POV.GAPS,6.3
IDN,2003,SI.POV.GAPS,5.4
IDN,2002,SI.POV.GAPS,5.3
IDN,2001,SI.POV.GAPS,9.2
IDN,2000,SI.POV.GAPS,10.7
IDN,1999,SI.POV.GAPS,11.8
IDN,1998,SI.POV.GAPS,24.6
IDN,1996,SI.POV.GAPS,15.1
IDN,1993,SI.POV.GAPS,20.2
IDN,1990,SI.POV.GAPS,20.5
IDN,1987,SI.POV.GAPS,28.5
IDN,1984,SI.POV.GAPS,30.3
IDN,2021,SI.POV.GINI,37.9
IDN,2020,SI.POV.GINI,37.6
IDN,2019,SI.POV.GINI,37.6
IDN,2018,SI.POV.GINI,38.4
IDN,2017,SI.POV.GINI,38.8
IDN,2016,SI.POV.GINI,39.3
IDN,2015,SI.POV.GINI,40.4
IDN,2014,SI.POV.GINI,40.2
IDN,2013,SI.POV.GINI,40.8
IDN,2012,SI.POV.GINI,40.5
IDN,2011,SI.POV.GINI,40.5
IDN,2010,SI.POV.GINI,37.2
IDN,2009,SI.POV.GINI,36
IDN,2008,SI.POV.GINI,36.1
IDN,2007,SI.POV.GINI,36.7
IDN,2006,SI.POV.GINI,35.3
IDN,2005,SI.POV.GINI,34.1
IDN,2004,SI.POV.GINI,33.9
IDN,2003,SI.POV.GINI,33
IDN,2002,SI.POV.GINI,32.8
IDN,2001,SI.POV.GINI,30
IDN,2000,SI.POV.GINI,29.5
IDN,1999,SI.POV.GINI,32.1
IDN,1998,SI.POV.GINI,32.2
IDN,1996,SI.POV.GINI,35.6
IDN,1993,SI.POV.GINI,33.2
IDN,1990,SI.POV.GINI,32.3
IDN,1987,SI.POV.GINI,31.4
IDN,1984,SI.POV.GINI,33.5
